Model,Group,EO_gap,Diff. TPR,Diff. TNR,Diff. FPR,Diff. FNR,SP,DI
12,race_Black,0.10898448338343095,0.09650478212200331,0.10898448338343092,0.10898448338343095,0.09650478212200331,-0.2259275205191531,0.09633781858904289
12,race_White,0.07759791877591551,0.01713526008331323,0.0775979187759156,0.07759791877591551,0.01713526008331326,0.1451252876252876,-0.040292402357487545
12,race_Asian-Pac-Islander,0.06913236536849765,0.06913236536849765,0.001093747985788207,0.0010937479857882348,0.0691323653684977,0.05622088722259655,-0.05329053565095043
12,race_Amer-Indian-Eskimo,0.0816337376516193,0.0816337376516193,0.018677915758207764,0.018677915758207764,0.08163373765161938,-0.08263370646766172,0.08520403551459454
13,sex_Female,0.1957161677727131,0.13542358817715094,0.19571616777271317,0.1957161677727131,0.13542358817715097,-0.3313775568986093,0.11221709635187926
13,age_>45,0.1462635605787942,0.051460469058758895,0.1462635605787943,0.1462635605787942,0.05146046905875887,0.19631539442371387,-0.050101743516272834
13,race_Black,0.1090751892003459,0.04083526438854579,0.10907518920034587,0.1090751892003459,0.04083526438854579,-0.20988378350874576,0.059966322433849806
13,race_White,0.07534231604076619,0.010953458407969574,0.07534231604076624,0.07534231604076619,0.010953458407969574,0.14220749970749974,-0.037093520018363746
13,race_Asian-Pac-Islander,0.009682099123514198,0.008996245584475204,0.009682099123514254,0.009682099123514198,0.008996245584475232,0.020307547141993565,-0.021104294163417525
13,race_Amer-Indian-Eskimo,0.15289952482180813,0.15289952482180813,0.10286599045723133,0.1028659904572313,0.15289952482180819,-0.0033008728036120205,0.10349069749814865
14,sex_Female,0.2068694921755154,0.09266311624170653,0.2068694921755153,0.2068694921755154,0.09266311624170656,-0.32575584189729534,0.07788549911051335
14,age_>45,0.11910457154837922,0.05795105731712624,0.11910457154837928,0.11910457154837922,0.05795105731712624,0.18930621276653542,-0.06243154337835055
14,race_Black,0.14626298533931126,0.12583060793208534,0.14626298533931126,0.14626298533931126,0.1258306079320853,-0.26238522190431834,0.08540105154741306
14,race_White,0.10742480937036575,0.04585258162848438,0.1074248093703658,0.10742480937036575,0.045852581628484324,0.1757918632918633,-0.03921537532977004
14,race_Asian-Pac-Islander,0.03755130940607043,0.03755130940607043,0.01706514593057329,0.01706514593057326,0.03755130940607046,0.0322784870505326,-0.040542759109706616
14,race_Amer-Indian-Eskimo,0.10965830936601217,0.10965830936601217,0.049606597781780226,0.049606597781780254,0.10965830936601226,-0.05470524904379831,0.09207335983534903
15,sex_Female,0.176262190848315,0.07916720385852516,0.17626219084831496,0.176262190848315,0.07916720385852516,-0.30090915819791264,0.08981228528884133
15,age_>45,0.14767156482266178,0.06868100722927761,0.14767156482266175,0.14767156482266178,0.06868100722927759,0.2059785375943312,-0.06026710006673319
15,race_Black,0.11643268754547026,0.0999800460275867,0.1164326875454702,0.11643268754547026,0.09998004602758667,-0.23274238433146893,0.09213428161497783
15,race_White,0.08428637591027682,0.046377741463533906,0.08428637591027688,0.08428637591027682,0.04637774146353388,0.16064909064909066,-0.053644223182852224
15,race_Asian-Pac-Islander,0.009262250195221866,0.009262250195221866,0.006377552285219412,0.006377552285219329,0.00926225019522181,0.02788530335394801,-0.015717759988751356
15,race_Amer-Indian-Eskimo,0.1166218581968238,0.1166218581968238,0.06463803836066606,0.06463803836066612,0.1166218581968238,-0.04057880755183624,0.09758122659720447
16,sex_Female,0.2066255045562497,0.14738395829407702,0.20662550455624973,0.2066255045562497,0.147383958294077,-0.33667584268859563,0.11857083381919042
16,age_>45,0.13196806673665676,0.030993141920673595,0.13196806673665673,0.13196806673665676,0.030993141920673595,0.17589321460432278,-0.044260005003751934
16,race_Black,0.12228162394032713,0.08700488014430408,0.12228162394032716,0.12228162394032713,0.0870048801443041,-0.22929082205774715,0.08275774025159277
16,race_White,0.08735579495925955,0.030545953231443934,0.08735579495925949,0.08735579495925955,0.030545953231443962,0.15410299910299907,-0.04413479140925358
16,race_Asian-Pac-Islander,0.03106335505740454,0.03106335505740454,0.012095186814734205,0.012095186814734149,0.03106335505740454,0.030342477415870817,-0.035447597154278254
16,race_Amer-Indian-Eskimo,0.12547674127797925,0.12547674127797925,0.09481404240528335,0.09481404240528327,0.12547674127797925,-0.01324303338797339,0.11250397548008295
17,sex_Female,0.1921773172259072,0.09694246923130323,0.19217731722590714,0.1921773172259072,0.09694246923130326,-0.31510625763747496,0.0870182746957453
17,age_>45,0.14746611747831787,0.07736359659549963,0.14746611747831784,0.14746611747831787,0.0773635965954996,0.20987805823934003,-0.0643203803152611
17,race_Black,0.11668508948027734,0.09281313835633276,0.11668508948027734,0.11668508948027734,0.09281313835633284,-0.22985644420786483,0.08480892833059162
17,race_White,0.08820968436133741,0.03497018041894073,0.08820968436133736,0.08820968436133741,0.03497018041894068,0.15818523068523072,-0.04250940209029275
17,race_Asian-Pac-Islander,0.033271060102592176,0.027592070764597465,0.033271060102592176,0.033271060102592176,0.02759207076459741,0.019030191285383857,-0.040509643379079585
17,race_Amer-Indian-Eskimo,0.14529198449418534,0.14529198449418534,0.10076152557904383,0.1007615255790438,0.14529198449418532,-0.005823483737382507,0.1033371155223417
18,sex_Female,0.2100149491998405,0.1416517079395303,0.21001494919984054,0.2100149491998405,0.1416517079395304,-0.3397073085110506,0.10648012906548576
18,age_>45,0.1545058320598281,0.0550020700521926,0.15450583205982804,0.1545058320598281,0.05500207005219257,0.20028595385242942,-0.049528513907385885
18,race_Black,0.10029391284528694,0.032800771977251175,0.10029391284528699,0.10029391284528694,0.0328007719772512,-0.19977973956233636,0.06104797209739343
18,race_White,0.07256988134142103,0.014720100981532203,0.07256988134142095,0.07256988134142103,0.01472010098153212,0.12969290719290716,-0.02285895990518294
18,race_Asian-Pac-Islander,0.056754587658166544,0.056754587658166544,0.013623260836583384,0.013623260836583329,0.056754587658166517,0.04367015622502124,-0.050717522798712555
18,race_Amer-Indian-Eskimo,0.16235619607352758,0.16235619607352758,0.10468417227541316,0.10468417227541313,0.16235619607352758,0.0023500632674775535,0.09847587618273845
19,sex_Female,0.20498988043284477,0.1252285131521096,0.20498988043284483,0.20498988043284477,0.12522851315210956,-0.33053900447744133,0.09693577835194434
19,age_>45,0.15308475737856853,0.059892075060499095,0.15308475737856853,0.15308475737856853,0.059892075060499095,0.2018367425246974,-0.052128787091602624
19,race_Black,0.12454544180882421,0.11314204209843348,0.12454544180882421,0.12454544180882421,0.11314204209843348,-0.24036553839048425,0.09220759184974625
19,race_White,0.09684947386516604,0.04433375583559418,0.09684947386516607,0.09684947386516604,0.044333755835594235,0.16618940368940366,-0.04304240364601808
19,race_Asian-Pac-Islander,0.035711823568919,0.035711823568919,0.0269470548629146,0.0269470548629146,0.03571182356891903,0.02613633242820479,-0.04313909228277768
19,race_Amer-Indian-Eskimo,0.16897586594973113,0.16897586594973113,0.05696590514108757,0.0569659051410876,0.16897586594973116,-0.029104387743364157,0.06314989691036921
20,sex_Female,0.18326440490912316,0.07650438513846325,0.1832644049091232,0.18326440490912316,0.07650438513846325,-0.30229111837194245,0.0766534798926547
20,age_>45,0.13625375200129095,0.01711437474856814,0.13625375200129097,0.13625375200129095,0.017114374748568195,0.17187568053615238,-0.02995464689799754
20,race_Black,0.11959179204795968,0.10637135422971788,0.11959179204795967,0.11959179204795968,0.10637135422971788,-0.23541554954538868,0.08929883925045845
20,race_White,0.08205263122326084,0.014603039921226024,0.0820526312232609,0.08205263122326084,0.014603039921226024,0.14637712387712387,-0.03206395873900092
20,race_Asian-Pac-Islander,0.08686600608493678,0.08686600608493678,0.024704028621887475,0.024704028621887447,0.08686600608493678,0.07759365883850405,-0.05451700528516579
20,race_Amer-Indian-Eskimo,0.11709547330248837,0.11709547330248837,0.03261730969760168,0.03261730969760168,0.11709547330248844,-0.06180980933482877,0.07067825293348295
21,sex_Female,0.18727647151900387,0.11214747817348159,0.18727647151900395,0.18727647151900387,0.11214747817348153,-0.31673229470960135,0.09825120140353671
21,age_>45,0.14042640289680755,0.06413502432640195,0.14042640289680752,0.14042640289680755,0.06413502432640192,0.19947640094286273,-0.057804487321605036
21,race_Black,0.09847178030820045,0.08238734663958269,0.09847178030820047,0.09847178030820045,0.08238734663958266,-0.2140425080139181,0.0906239424031482
21,race_White,0.07916784404462168,0.004374120514405333,0.07916784404462174,0.07916784404462168,0.004374120514405222,0.14103174603174606,-0.028243561762644975
21,race_Asian-Pac-Islander,0.08051961735225899,0.08051961735225899,0.02684367931666043,0.026843679316660374,0.08051961735225904,0.05021622195105946,-0.06914280989354793
21,race_Amer-Indian-Eskimo,0.14993435038139302,0.14993435038139302,0.0303662274465194,0.030366227446519428,0.14993435038139302,-0.05428331607856668,0.05360012725367924
22,sex_Female,0.19465882659266415,0.10019206675063386,0.1946588265926641,0.19465882659266415,0.10019206675063391,-0.31923906095761717,0.09419328005136052
22,age_>45,0.12830750101286306,0.029000522356324554,0.12830750101286303,0.12830750101286306,0.0290005223563245,0.17646424651081893,-0.04377657793526235
22,race_Black,0.14485105108254068,0.09258976825113285,0.1448510510825407,0.14485105108254068,0.0925897682511328,-0.250021037758373,0.0674788881069669
22,race_White,0.09609943659033035,0.032778493587393376,0.09609943659033038,0.09609943659033035,0.032778493587393376,0.16308233558233554,-0.03980068139826365
22,race_Asian-Pac-Islander,0.0323066610416195,0.0323066610416195,0.01784802356863291,0.017848023568632965,0.03230666104161942,0.045576332173808964,-0.025506706968494552
22,race_Amer-Indian-Eskimo,0.12775415780917843,0.12775415780917843,0.11053812367680982,0.11053812367680982,0.12775415780917845,-0.005037583038564386,0.12240624113039944
23,sex_Female,0.18005834302057963,0.1010945490728895,0.18005834302057966,0.18005834302057963,0.10109454907288948,-0.30866236450185014,0.10159789248200468
23,age_>45,0.17184861597100126,0.07417035273880701,0.17184861597100132,0.17184861597100126,0.07417035273880701,0.21816950456614703,-0.05650274297089697
23,race_Black,0.09487489024668369,0.09458484775405018,0.09487489024668372,0.09487489024668369,0.09458484775405013,-0.2152676394265205,0.10517135824566526
23,race_White,0.07359018757373131,0.030519066723931454,0.07359018757373137,0.07359018757373131,0.030519066723931426,0.14726206726206725,-0.05042995596183353
23,race_Asian-Pac-Islander,0.03231793426065688,0.03231793426065688,0.028742368306495458,0.028742368306495347,0.03231793426065677,0.023605094506583435,-0.04182843793209212
23,race_Amer-Indian-Eskimo,0.14004783043641367,0.14004783043641367,0.07906341833349129,0.07906341833349134,0.14004783043641367,-0.02240872947401723,0.09472222944104336
24,sex_Female,0.17766262136116373,0.08698375862399543,0.17766262136116373,0.17766262136116373,0.08698375862399546,-0.3050450733734758,0.08994086125453826
24,age_>45,0.1462374197040102,0.05175886869674495,0.14623741970401016,0.1462374197040102,0.0517588686967449,0.19664549241328289,-0.049077763812695574
24,race_Black,0.1284046276721204,0.06967002547944345,0.12840462767212035,0.1284046276721204,0.0696700254794434,-0.2320663873374222,0.06033941200335735
24,race_White,0.09859674498817131,0.0357312082517135,0.09859674498817128,0.09859674498817131,0.03573120825171358,0.1659014209014209,-0.03650953990200323
24,race_Asian-Pac-Islander,0.03897729109463052,0.011818235819265999,0.03897729109463055,0.03897729109463052,0.011818235819266026,-0.004425676974609827,-0.018643026419731368
24,race_Amer-Indian-Eskimo,0.13901619357258965,0.13901619357258965,0.07869055518690549,0.07869055518690557,0.13901619357258974,-0.02468375248037269,0.09338239788886316
25,sex_Female,0.20276724085393885,0.09038046406764988,0.20276724085393882,0.20276724085393885,0.09038046406764982,-0.3212202570525943,0.08283602123775202
25,age_>45,0.13546208979045518,0.06449025771970418,0.13546208979045515,0.13546208979045518,0.06449025771970415,0.19896448948799456,-0.06268686964456971
